Time,FL Speed,FR Speed,FA Speed,RL Speed,RR Speed,RA Speed,dA Speed,dA* Speed,Distance,Average Acceleration,Steering Angle,Steering Speed,TCS OFF Switch,TCS OFF Status,TCS Action,ABD Action,ABS Pump,RPM,APP,TPS,ECT,IAT,ECT offset,Brake On,Fan State,Torque ABS1,Torque ABS2,Torque ECM1,Torque ECM3,ABS Sensors Failure,Speed Stage,Distance Stage,Current Gear,Shift Light,Emergency Blinker,
0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,0,0,1,0,0,0,1.55,0,2,101,70,0,0,0,250,250,94,65,0,0,0,0,0,0,
0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,0,0,1,0,0,0,1.55,0,2,101,70,0,0,0,250,250,94,65,0,0,0,0,0,0,
1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,0,0,1,0,0,0,1.55,0,2,101,70,0,0,3,250,250,94,65,0,0,0,0,0,0,
1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,0,0,1,0,0,0,1.25,0,2,101,70,0,0,3,250,250,93,65,0,0,0,0,0,0,
1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,0,0,1,0,0,0,1.25,0,2,101,70,0,0,3,250,250,93,65,0,0,0,0,0,0,
1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,0,0,1,0,0,0,1.25,0,2,101,70,0,0,3,250,250,93,65,0,0,0,0,0,0,
1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,0,0,1,0,0,0,1.25,0,2,101,70,0,0,3,250,250,93,65,0,0,0,0,0,0,
1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,0,0,1,0,0,0,1.25,0,2,101,70,0,0,3,250,250,93,65,0,0,0,0,0,0,
1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,0,0,1,0,0,0,1.25,0,2,101,70,0,0,3,250,250,93,65,0,0,0,0,0,0,
1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,0,0,1,0,0,0,1.58,0,2,101,70,0,0,3,250,250,92,65,0,0,0,0,0,0,
1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,0,0,1,0,0,0,1.58,0,2,101,70,0,0,3,250,250,92,65,0,0,0,0,0,0,
1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,0,0,1,0,0,0,4.54,0,2,101,70,0,0,3,250,250,92,65,0,0,0,0,0,0,
